l_code	y	y_est	y_deviation	ranking
en	9327.0	4874.0959607785935	4452.904	1
ja	1444.0	827.7869947090232	616.213	2
de	1225.0	612.0725280023922	612.927	3
ru	1275.0	824.4815073303864	450.518	4
it	631.0	278.51171212919763	352.488	5
fr	895.0	629.2030847302348	265.797	6
pl	394.0	171.4813792279486	222.519	7
sv	128.0	48.33945732883387	79.661	8
fi	77.7	15.240873533084862	62.459	9
nl	197.0	147.84584439873947	49.154	10
cs	84.7	37.556241009059164	47.144	11
he	59.8	20.72016360079733	39.080	12
et	12.4	-18.557908814301513	30.958	13
lt	16.5	-10.409396166494465	26.909	14
sl	13.4	-13.382265071764404	26.782	15
eu	7.5	-18.72341612312373	26.223	16
ia	0.936	-24.715227029105122	25.651	17
bpy	0.712	-24.611985998295765	25.324	18
sa	0.603	-24.697708355476927	25.301	19
hsb	0.635	-24.627576011883207	25.263	20
is	3.0	-22.181339989213722	25.181	21
dsb	0.432	-24.66850791869451	25.101	22
stq	0.371	-24.709439825505807	25.080	23
kw	0.373	-24.701524167494007	25.075	24
gd	0.812	-24.25131188761176	25.063	25
vep	0.341	-24.698092683365914	25.039	26
frr	0.389	-24.649701366916343	25.039	27
kl	0.265	-24.65999852604511	24.925	28
fur	0.354	-24.545386958179947	24.899	29
mrj	0.322	-24.56500554335714	24.887	30
tet	0.198	-24.652949092639812	24.851	31
csb	0.364	-24.459383765439835	24.823	32
ik	0.108	-24.66177856878471	24.770	33
rm	0.279	-24.43321117525461	24.712	34
frp	0.389	-24.316388064021467	24.705	35
haw	0.176	-24.52277347891326	24.699	36
bi	0.165	-24.495509782970828	24.661	37
iu	0.136	-24.509789046972386	24.646	38
new	0.893	-23.721603617317488	24.615	39
ab	0.248	-24.35528414061608	24.603	40
lv	7.5	-17.086460257432783	24.586	41
koi	0.179	-24.392351956318734	24.571	42
mi	0.554	-23.959808068286172	24.514	43
lad	0.373	-24.125406298589176	24.498	44
ln	0.291	-24.013556660802244	24.305	45
da	40.0	15.75731744707765	24.243	46
pdc	0.246	-23.869015165611586	24.115	47
nv	0.298	-23.630100167395028	23.928	48
krc	0.328	-23.565053518426364	23.893	49
tyv	0.108	-23.780870502224374	23.889	50
lb	1.9	-21.965129739189116	23.865	51
ext	0.378	-23.383302074854416	23.761	52
kv	0.332	-23.42117552922769	23.753	53
se	0.546	-23.151585572356062	23.698	54
lez	0.255	-23.42117552922769	23.676	55
cy	2.7	-20.967490295344874	23.667	56
mt	1.3	-22.35055256046794	23.651	57
br	2.4	-21.186905352917297	23.587	58
scn	1.2	-22.383307622926466	23.583	59
ksh	0.424	-23.05667580453062	23.481	60
kaa	0.23	-23.209058464561018	23.439	61
rue	0.414	-22.860435201231635	23.274	62
mk	6.4	-16.86404912145479	23.264	63
zea	0.299	-22.914078169661614	23.213	64
sah	0.706	-22.414029604836976	23.120	65
co	0.688	-22.292429136731272	22.980	66
myv	0.318	-22.485968599436315	22.804	67
mg	1.7	-21.00785813038687	22.708	68
nap	0.725	-21.95658143833696	22.682	69
os	0.612	-22.067368769196037	22.679	70
my	1.3	-21.349584315031702	22.650	71
ga	1.4	-21.24229719283388	22.642	72
lij	0.35	-22.269513973702598	22.620	73
szl	0.404	-22.14914076625661	22.553	74
so	0.654	-21.872043650219847	22.526	75
ast	1.3	-21.180142810975475	22.480	76
udm	0.277	-21.98239563724096	22.259	77
tpi	0.248	-21.951925858866563	22.200	78
av	0.212	-21.910456642641623	22.122	79
vec	0.953	-21.017783832240056	21.971	80
diq	0.658	-20.6782329295225	21.336	81
wa	0.658	-20.378736303240863	21.037	82
kab	0.273	-20.73906469820524	21.012	83
bg	31.0	10.070595705941901	20.929	84
am	0.982	-19.90582510604406	20.888	85
ce	0.864	-19.968103788459537	20.832	86
pag	0.219	-20.598874006660882	20.818	87
yi	0.888	-19.914823632960463	20.803	88
ace	0.463	-20.238481923723448	20.701	89
fy	1.4	-19.18136541192805	20.581	90
lo	0.524	-19.955200040419395	20.479	91
pcd	0.27	-20.03886142357202	20.309	92
sc	0.381	-19.87984734000138	20.261	93
bjn	0.266	-19.89085421892198	20.157	94
nn	5.3	-14.842459709989575	20.142	95
om	0.233	-19.686831400842994	19.920	96
bug	0.366	-19.469639723566843	19.836	97
hu	65.7	45.96089867483843	19.739	98
hr	26.1	6.44887312632077	19.651	99
war	3.2	-16.187584622352098	19.388	100
mn	2.0	-16.958443174202102	18.958	101
ky	1.0	-17.81562844537529	18.816	102
km	0.655	-18.147317772213025	18.802	103
ka	7.7	-10.863351914378475	18.563	104
pam	0.59	-17.952100376075613	18.542	105
li	0.871	-17.636794615624503	18.508	106
bcl	0.526	-17.952100376075613	18.478	107
lg	0.079	-18.392999225306497	18.472	108
ht	0.884	-17.493644139123937	18.378	109
vls	0.504	-17.237903072059048	17.742	110
pms	0.755	-16.750521986345028	17.506	111
tk	0.552	-15.822803455024236	16.375	112
ay	0.286	-16.02441051467158	16.310	113
ba	0.925	-15.364008134101994	16.289	114
cv	0.825	-15.364008134101994	16.189	115
tt	1.5	-14.64461818810863	16.145	116
glk	0.165	-15.650544753887104	15.816	117
als	1.7	-14.057954026399482	15.758	118
min	0.429	-15.121229914246534	15.550	119
mzn	0.678	-14.86223756448461	15.540	120
bo	0.682	-14.31250207678786	14.995	121
ts	0.122	-14.485521836682658	14.608	122
oc	2.5	-11.960033772623762	14.460	123
tg	0.868	-13.572020420493066	14.440	124
sco	1.6	-12.040653493725115	13.641	125
ckb	1.3	-11.812892074932844	13.113	126
sk	19.1	6.529518184484573	12.570	127
gl	6.6	-5.60213939545552	12.202	128
ca	32.7	22.345479529460125	10.355	129
hy	6.5	-3.4293262768516932	9.929	130
sn	0.267	-8.68987993235001	8.957	131
gn	0.483	-8.127749185102488	8.611	132
sq	5.9	-2.38864941549161	8.289	133
wo	0.248	-7.86190146753928	8.110	134
st	0.181	-7.266627457556055	7.448	135
ku	1.9	-4.1166469192443245	6.017	136
tn	0.118	-5.767522663336781	5.886	137
lmo	0.942	-4.758558496874944	5.701	138
as	0.691	-4.816244514959983	5.507	139
uk	83.3	79.20331237171078	4.097	140
ne	1.2	-2.5717047682342624	3.772	141
sd	0.116	-0.8656201880478065	0.982	142
af	5.4	4.600143764635696	0.800	143
si	0.872	0.5661127745669923	0.306	144
ilo	0.809	3.516174627560467	-2.707	145
el	31.9	36.58912227177704	-4.689	146
ps	0.556	8.138730066109577	-7.583	147
qu	0.991	10.31819554486923	-9.327	148
be	8.4	19.512321215305047	-11.112	149
bs	6.6	17.793030764395635	-11.193	150
su	1.2	13.663312639061107	-12.463	151
xh	0.171	13.314838990785585	-13.144	152
kk	13.2	28.33150019804558	-15.132	153
ro	46.1	65.63575400191729	-19.536	154
sr	21.3	42.66951661114396	-21.370	155
or	0.759	24.268126671506135	-23.509	156
