l_code	y	y_est	y_deviation	ranking
en	9327.000	4873.944163046892	4453.055836953108	1
ja	1444.000	827.8716187932904	616.1283812067096	2
de	1225.000	612.1697560688015	612.8302439311985	3
ru	1275.000	824.5663245509996	450.43367544900036	4
it	631.000	278.6284298229402	352.3715701770598	5
fr	895.000	629.2993118752204	265.7006881247796	6
pl	394.000	171.6043505977896	222.3956494022104	7
sv	128.000	48.46962375892396	79.53037624107604	8
fi	77.700	15.372973880567951	62.32702611943205	9
nl	197.000	147.97019676941667	49.029803230583326	10
cs	84.700	37.68703749177391	47.012962508226096	11
he	59.800	20.851943798801255	38.94805620119874	12
et	12.400	-18.423833637519163	30.823833637519165	13
lt	16.500	-10.275797099216797	26.775797099216796	14
sl	13.400	-13.248492302707877	26.64849230270788	15
eu	7.500	-18.58933127591363	26.08933127591363	16
ia	0.936	-24.580792086332075	25.516792086332075	17
bpy	0.712	-24.477557087793656	25.189557087793656	18
sa	0.603	-24.56327443630259	25.16627443630259	19
hsb	0.635	-24.493146190472082	25.128146190472084	20
is	3.000	-22.047053098944932	25.047053098944932	21
dsb	0.432	-24.534075705672702	24.9660757056727	22
stq	0.371	-24.575005220873322	24.94600522087332	23
kw	0.373	-24.567090025365562	24.940090025365564	24
gd	0.812	-24.116904050939883	24.928904050939884	25
vep	0.341	-24.56365874173568	24.90465874173568	26
frr	0.389	-24.51527025274269	24.904270252742688	27
cu	0.211	-24.581642439554503	24.792642439554502	28
kl	0.265	-24.52556681021867	24.79056681021867	29
fur	0.354	-24.410961938993637	24.764961938993636	30
mrj	0.322	-24.430579377876377	24.752579377876376	31
tet	0.198	-24.518517788704767	24.716517788704767	32
csb	0.364	-24.324963771334698	24.6889637713347	33
ik	0.108	-24.52734674895214	24.63534674895214	34
rm	0.279	-24.298792710387936	24.577792710387936	35
frp	0.389	-24.181976425013207	24.570976425013207	36
haw	0.176	-24.388349781010096	24.564349781010094	37
bi	0.165	-24.36108767805835	24.52608767805835	38
iu	0.136	-24.37536610773669	24.511366107736688	39
new	0.893	-23.587226730973985	24.480226730973985	40
ab	0.248	-24.22087022894868	24.46887022894868	41
lv	7.500	-16.952471055928847	24.452471055928847	42
koi	0.179	-24.25793587881566	24.436935878815657	43
mi	0.554	-23.825417263893073	24.37941726389307	44
lad	0.373	-23.99100581845588	24.36400581845588	45
ln	0.291	-23.879162715932242	24.170162715932243	46
da	40.000	15.889387619255533	24.110612380744467	47
pdc	0.246	-23.734629666157655	23.980629666157654	48
