l_code	y	y_est	y_deviation	ranking
en	9327.0	3969.128135658602	5357.872	1
ja	1444.0	373.2395957560031	1070.760	2
de	1225.0	283.0799612383162	941.920	3
ru	1275.0	575.1139079443934	699.886	4
it	631.0	172.28704133283048	458.713	5
pl	394.0	94.1547420628058	299.845	6
fr	895.0	637.9285877369692	257.071	7
nl	197.0	43.88581975971077	153.114	8
sv	128.0	-3.7715403198057516	131.772	9
fi	77.7	-17.61759230740818	95.318	10
cs	84.7	-0.9364396309231537	85.636	11
he	59.8	-9.136955650098933	68.937	12
hu	65.7	6.466639965622491	59.233	13
da	40.0	-17.960980747799425	57.961	14
et	12.4	-32.471261127475216	44.871	15
lt	16.5	-27.01201137882295	43.512	16
hr	26.1	-16.969246899676424	43.069	17
sl	13.4	-29.15044520993568	42.550	18
ca	32.7	-8.524575309212501	41.225	19
eu	7.5	-32.22955190469584	39.730	20
bg	31.0	-8.188550754903847	39.189	21
lv	7.5	-31.458797439345144	38.959	22
sk	19.1	-19.002585860899643	38.103	23
is	3.0	-34.56358068039368	37.564	24
mk	6.4	-30.33418007095659	36.734	25
nn	5.3	-31.35704378426961	36.657	26
cy	2.7	-33.8937963568698	36.594	27
ia	0.936	-35.64771578992554	36.584	28
lb	1.9	-34.436295985746064	36.336	29
br	2.4	-33.868456025405976	36.268	30
gd	0.812	-35.43444467597211	36.246	31
hsb	0.635	-35.60460039841769	36.240	32
sa	0.603	-35.59789065259833	36.201	33
bpy	0.712	-35.36337208880851	36.075	34
dsb	0.432	-35.624739605780405	36.057	35
stq	0.371	-35.64487881314312	36.016	36
kw	0.373	-35.64145301581388	36.014	37
frr	0.389	-35.61548645645159	36.004	38
vep	0.341	-35.636044332444754	35.977	39
kl	0.265	-35.62366346235781	35.889	40
fur	0.354	-35.527525625524824	35.882	41
mrj	0.322	-35.546502126441595	35.869	42
csb	0.364	-35.47942117248201	35.843	43
frp	0.389	-35.44658953551251	35.836	44
mi	0.554	-35.270736585163895	35.825	45
rm	0.279	-35.51336566637429	35.792	46
ik	0.108	-35.62150435488529	35.730	47
haw	0.176	-35.55330524917521	35.729	48
iu	0.136	-35.548822150195846	35.685	49
lad	0.373	-35.30349917380738	35.676	50
koi	0.179	-35.43033926459965	35.609	51
ab	0.248	-35.30325425097446	35.551	52
mt	1.3	-34.23012778888498	35.530	53
se	0.546	-34.967648520233965	35.514	54
pdc	0.246	-35.23255633013248	35.479	55
nv	0.298	-35.11533911719328	35.413	56
ext	0.378	-34.87888228268682	35.257	57
ksh	0.424	-34.831690278010775	35.256	58
ga	1.4	-33.8224980658854	35.222	59
krc	0.328	-34.87372555160702	35.202	60
scn	1.2	-33.999684895164265	35.200	61
zea	0.299	-34.85584708748452	35.155	62
tyv	0.108	-35.01892912890945	35.127	63
co	0.688	-34.42594884147622	35.114	64
kv	0.332	-34.77692316673874	35.109	65
lez	0.255	-34.77692316673874	35.032	66
bi	0.165	-34.841794911086794	35.007	67
ast	1.3	-33.607244523968774	34.907	68
sah	0.706	-34.09930647266076	34.805	69
fy	1.4	-33.2146593196992	34.615	70
myv	0.318	-34.1477076650949	34.466	71
nap	0.725	-33.6981373825931	34.423	72
os	0.612	-33.76703919143298	34.379	73
szl	0.404	-33.96091004984054	34.365	74
lij	0.35	-33.919272225145285	34.269	75
kaa	0.23	-34.01841551667618	34.248	76
rue	0.414	-33.814234564320046	34.228	77
wa	0.658	-33.46757828559201	34.126	78
udm	0.277	-33.80889931805591	34.086	79
vec	0.953	-33.03473285493654	33.988	80
av	0.212	-33.760498125621766	33.972	81
pcd	0.27	-33.289521177948416	33.560	82
tet	0.198	-33.27736193614694	33.475	83
new	0.893	-32.55925934554436	33.452	84
li	0.871	-32.53554713992597	33.407	85
ce	0.864	-32.45366592989994	33.318	86
yi	0.888	-32.17488415564905	33.063	87
diq	0.658	-32.04154510168339	32.700	88
sc	0.381	-32.23060615474677	32.612	89
vls	0.504	-31.888547484068326	32.393	90
als	1.7	-30.462224634011523	32.162	91
oc	2.5	-29.215535214358177	31.716	92
sco	1.6	-29.81996405106654	31.420	93
pag	0.219	-31.05129106023331	31.270	94
gl	6.6	-24.60925941051591	31.209	95
pms	0.755	-30.019257729224908	30.774	96
tt	1.5	-28.87197768977346	30.372	97
ba	0.925	-29.355989614114872	30.281	98
cv	0.825	-29.355989614114872	30.181	99
ka	7.7	-22.331163079740655	30.031	100
war	3.2	-26.12609080631904	29.326	101
pam	0.59	-28.096170907884748	28.686	102
bcl	0.526	-28.096170907884748	28.622	103
ln	0.291	-26.763984840490778	27.055	104
ay	0.286	-26.54543307897392	26.831	105
bo	0.682	-25.796183293735616	26.478	106
el	31.9	5.706838875371254	26.193	107
kab	0.273	-25.691039197441974	25.964	108
ky	1.0	-24.96131905420786	25.961	109
sq	5.9	-19.652081933722933	25.552	110
hy	6.5	-18.119608869057114	24.620	111
ace	0.463	-23.95588507847171	24.419	112
glk	0.165	-23.721349808355207	23.886	113
bjn	0.266	-23.103575580650684	23.370	114
mzn	0.678	-22.68423721512059	23.362	115
lmo	0.942	-22.078993271344096	23.021	116
bug	0.366	-22.20587405012555	22.572	117
ts	0.122	-20.85942468686679	20.981	118
ku	1.9	-18.788636422927816	20.689	119
lo	0.524	-19.91422046788064	20.438	120
lg	0.079	-19.524114266925714	19.603	121
mn	2.0	-17.57826170726528	19.578	122
tpi	0.248	-18.080701114126335	18.329	123
gn	0.483	-17.1298290717194	17.613	124
uk	83.3	66.21934823075162	17.081	125
tn	0.118	-16.55561355945789	16.674	126
bs	6.6	-9.785538365138482	16.386	127
st	0.181	-15.258820653518193	15.440	128
so	0.654	-14.599722383657529	15.254	129
tk	0.552	-13.190368580746394	13.742	130
af	5.4	-6.937577172918925	12.338	131
min	0.429	-10.593302733235621	11.022	132
be	8.4	-1.7501748267049066	10.150	133
bar	1.2	-8.50103740851467	9.701	134
ht	0.884	-7.50077978031932	8.385	135
kk	13.2	6.012132390989201	7.188	136
tg	0.868	-6.228358238895684	7.096	137
ro	46.1	39.04435222142315	7.056	138
ilo	0.809	-4.126863005501992	4.936	139
nds	1.2	-2.9899705288526874	4.190	140
sr	21.3	17.35320969814166	3.947	141
xh	0.171	-3.4627683314063376	3.634	142
ckb	1.3	-2.109715523068175	3.410	143
wo	0.248	-2.309921986414416	2.558	144
sn	0.267	0.1383228251527271	0.129	145
qu	0.991	0.9154364729192608	0.076	146
zu	0.296	8.526603749161538	-8.231	147
km	0.655	9.578273137433271	-8.923	148
si	0.872	12.042220548800543	-11.170	149
as	0.691	18.793664820654385	-18.103	150
ne	1.2	29.42058617110898	-28.221	151
mg	1.7	33.98288189630897	-32.283	152
ig	0.602	38.47493021236447	-37.873	153
yo	1.1	40.804071713864545	-39.704	154
ceb	2.5	43.15505943207495	-40.655	155
gan	0.572	42.26841156176437	-41.696	156
ko	103.0	145.94777028914808	-42.948	157
es	1357.0	1402.5801176659832	-45.580	158
tr	167.0	216.9807004055903	-49.981	159
sd	0.116	50.128847397417985	-50.013	160
sh	11.8	61.89471369443335	-50.095	161
zh-min-nan	0.963	51.43506523144879	-50.472	162
az	9.1	59.94486251253102	-50.845	163
om	0.233	60.77854997996357	-60.546	164
am	0.982	63.26590275292483	-62.284	165
su	1.2	64.57122295871739	-63.371	166
ms	14.3	82.30870724054762	-68.009	167
hak	0.396	69.76837257081763	-69.372	168
uz	3.0	72.80010826069503	-69.800	169
my	1.3	75.35262899195473	-74.053	170
th	64.6	148.1995914078073	-83.600	171
ml	4.6	100.92969062061142	-96.330	172
or	0.759	98.3624632493425	-97.603	173
ps	0.556	102.14797473781424	-101.592	174
