l_code	y	y_est	y_deviation_perc	ranking
hu	65.7	6.466639965622491	9.160	1
el	31.9	5.706838875371254	4.590	2
nl	197.0	43.88581975971077	3.489	3
de	1225.0	283.0799612383162	3.327	4
pl	394.0	94.1547420628058	3.185	5
ja	1444.0	373.2395957560031	2.869	6
it	631.0	172.28704133283048	2.662	7
en	9327.0	3969.128135658602	1.350	8
ru	1275.0	575.1139079443934	1.217	9
kk	13.2	6.012132390989201	1.196	10
sn	0.267	0.1383228251527271	0.930	11
fr	895.0	637.9285877369692	0.403	12
uk	83.3	66.21934823075162	0.258	13
sr	21.3	17.35320969814166	0.227	14
ro	46.1	39.04435222142315	0.181	15
qu	0.991	0.9154364729192608	0.083	16
es	1357.0	1402.5801176659832	-0.032	17
tr	167.0	216.9807004055903	-0.230	18
ko	103.0	145.94777028914808	-0.294	19
pt	380.0	697.6415276018864	-0.455	20
th	64.6	148.1995914078073	-0.564	21
fa	85.6	217.00436478261224	-0.606	22
id	140.0	499.87381744855014	-0.720	23
vi	56.1	227.8023144579426	-0.754	24
sh	11.8	61.89471369443335	-0.809	25
ar	167.0	892.6413795597003	-0.813	26
ms	14.3	82.30870724054762	-0.826	27
az	9.1	59.94486251253102	-0.848	28
zh	541.0	4247.342629510046	-0.873	29
si	0.872	12.042220548800543	-0.928	30
km	0.655	9.578273137433271	-0.932	31
ceb	2.5	43.15505943207495	-0.942	32
tl	9.1	165.8354318382414	-0.945	33
mg	1.7	33.98288189630897	-0.950	34
ml	4.6	100.92969062061142	-0.954	35
uz	3.0	72.80010826069503	-0.959	36
ne	1.2	29.42058617110898	-0.959	37
as	0.691	18.793664820654385	-0.963	38
zu	0.296	8.526603749161538	-0.965	39
yo	1.1	40.804071713864545	-0.973	40
arz	3.9	144.78018357488173	-0.973	41
ta	5.5	226.68195652921673	-0.976	42
zh-min-nan	0.963	51.43506523144879	-0.981	43
su	1.2	64.57122295871739	-0.981	44
my	1.3	75.35262899195473	-0.983	45
ig	0.602	38.47493021236447	-0.984	46
am	0.982	63.26590275292483	-0.984	47
mr	3.7	257.50006010671876	-0.986	48
gan	0.572	42.26841156176437	-0.986	49
kn	1.5	119.30162073057623	-0.987	50
bn	8.6	821.9965506155538	-0.990	51
te	2.6	265.8757230992122	-0.990	52
jv	2.0	249.51718441115634	-0.992	53
hi	13.3	1686.6382100289923	-0.992	54
or	0.759	98.3624632493425	-0.992	55
sw	2.5	420.2963157377195	-0.994	56
hak	0.396	69.76837257081763	-0.994	57
gu	0.861	152.81975973484464	-0.994	58
ps	0.556	102.14797473781424	-0.995	59
om	0.233	60.77854997996357	-0.996	60
ur	2.9	758.2198403016295	-0.996	61
wuu	0.563	239.35146545997958	-0.998	62
sd	0.116	50.128847397417985	-0.998	63
pnb	0.913	394.8506534035626	-0.998	64
pa	0.877	825.3494514376786	-0.999	65
ik	0.108	-35.62150435488529	-1.003	66
tyv	0.108	-35.01892912890945	-1.003	67
iu	0.136	-35.548822150195846	-1.004	68
lg	0.079	-19.524114266925714	-1.004	69
bi	0.165	-34.841794911086794	-1.005	70
haw	0.176	-35.55330524917521	-1.005	71
koi	0.179	-35.43033926459965	-1.005	72
ts	0.122	-20.85942468686679	-1.006	73
tet	0.198	-33.27736193614694	-1.006	74
av	0.212	-33.760498125621766	-1.006	75
kaa	0.23	-34.01841551667618	-1.007	76
glk	0.165	-23.721349808355207	-1.007	77
pdc	0.246	-35.23255633013248	-1.007	78
ab	0.248	-35.30325425097446	-1.007	79
pag	0.219	-31.05129106023331	-1.007	80
tn	0.118	-16.55561355945789	-1.007	81
lez	0.255	-34.77692316673874	-1.007	82
kl	0.265	-35.62366346235781	-1.007	83
rm	0.279	-35.51336566637429	-1.008	84
pcd	0.27	-33.289521177948416	-1.008	85
udm	0.277	-33.80889931805591	-1.008	86
nv	0.298	-35.11533911719328	-1.008	87
zea	0.299	-34.85584708748452	-1.009	88
mrj	0.322	-35.546502126441595	-1.009	89
myv	0.318	-34.1477076650949	-1.009	90
krc	0.328	-34.87372555160702	-1.009	91
kv	0.332	-34.77692316673874	-1.010	92
vep	0.341	-35.636044332444754	-1.010	93
fur	0.354	-35.527525625524824	-1.010	94
csb	0.364	-35.47942117248201	-1.010	95
lij	0.35	-33.919272225145285	-1.010	96
stq	0.371	-35.64487881314312	-1.010	97
kw	0.373	-35.64145301581388	-1.010	98
lad	0.373	-35.30349917380738	-1.011	99
kab	0.273	-25.691039197441974	-1.011	100
ay	0.286	-26.54543307897392	-1.011	101
ext	0.378	-34.87888228268682	-1.011	102
ln	0.291	-26.763984840490778	-1.011	103
frr	0.389	-35.61548645645159	-1.011	104
frp	0.389	-35.44658953551251	-1.011	105
bjn	0.266	-23.103575580650684	-1.012	106
sc	0.381	-32.23060615474677	-1.012	107
st	0.181	-15.258820653518193	-1.012	108
szl	0.404	-33.96091004984054	-1.012	109
dsb	0.432	-35.624739605780405	-1.012	110
ksh	0.424	-34.831690278010775	-1.012	111
rue	0.414	-33.814234564320046	-1.012	112
tpi	0.248	-18.080701114126335	-1.014	113
se	0.546	-34.967648520233965	-1.016	114
mi	0.554	-35.270736585163895	-1.016	115
vls	0.504	-31.888547484068326	-1.016	116
bug	0.366	-22.20587405012555	-1.016	117
sa	0.603	-35.59789065259833	-1.017	118
hsb	0.635	-35.60460039841769	-1.018	119
os	0.612	-33.76703919143298	-1.018	120
bcl	0.526	-28.096170907884748	-1.019	121
ace	0.463	-23.95588507847171	-1.019	122
wa	0.658	-33.46757828559201	-1.020	123
co	0.688	-34.42594884147622	-1.020	124
bpy	0.712	-35.36337208880851	-1.020	125
diq	0.658	-32.04154510168339	-1.021	126
sah	0.706	-34.09930647266076	-1.021	127
pam	0.59	-28.096170907884748	-1.021	128
nap	0.725	-33.6981373825931	-1.022	129
