l_code	y	y_est	y_deviation_perc	ranking
be	8.4	0.473842473731267	16.727	1
fi	77.7	10.091927798215387	6.699	2
sr	21.3	5.43398968481587	2.920	3
uk	83.3	21.9694479309166	2.792	4
cs	84.7	26.379571454251973	2.211	5
da	40.0	12.87094863731263	2.108	6
he	59.8	20.4683416893485	1.922	7
hu	65.7	25.81697099527237	1.545	8
pl	394.0	173.50605470878781	1.271	9
sv	128.0	57.46937317104556	1.227	10
ca	32.7	20.615232394468315	0.586	11
ru	1275.0	913.1997957929652	0.396	12
ja	1444.0	1037.1321745400294	0.392	13
en	9327.0	7008.5711710712485	0.331	14
it	631.0	479.33329126452185	0.316	15
de	1225.0	958.5489457631166	0.278	16
ro	46.1	45.45074746521901	0.014	17
fr	895.0	887.9570675305281	0.008	18
nl	197.0	212.09426761548684	-0.071	19
el	31.9	35.03829814791128	-0.090	20
vi	56.1	71.03143202665187	-0.210	21
es	1357.0	1972.3869437088501	-0.312	22
kk	13.2	23.253054686849282	-0.432	23
tr	167.0	314.2402505560183	-0.469	24
pt	380.0	726.4046166113853	-0.477	25
th	64.6	145.41625564342075	-0.556	26
id	140.0	332.89637236014846	-0.579	27
fa	85.6	205.2490410804415	-0.583	28
ko	103.0	394.4987866670601	-0.739	29
sh	11.8	53.44334548840418	-0.779	30
ml	4.6	21.6796900219516	-0.788	31
sw	2.5	14.044425414180445	-0.822	32
ar	167.0	1189.844759284221	-0.860	33
zh	541.0	3965.109169127139	-0.864	34
tl	9.1	68.77651129841644	-0.868	35
az	9.1	71.95348403346092	-0.874	36
ms	14.3	132.63430393075964	-0.892	37
kn	1.5	18.815593703769707	-0.920	38
ta	5.5	71.70790749532176	-0.923	39
or	0.759	10.581189578069917	-0.928	40
mr	3.7	73.16266093338827	-0.949	41
su	1.2	27.556328428303445	-0.956	42
bn	8.6	213.21474895945113	-0.960	43
arz	3.9	99.39982952572275	-0.961	44
te	2.6	76.45642258366819	-0.966	45
zh-min-nan	0.963	32.45584731025794	-0.970	46
gu	0.861	31.99400279057798	-0.973	47
bar	1.2	44.863953476082614	-0.973	48
gan	0.572	24.605863716924617	-0.977	49
hi	13.3	637.1262482229619	-0.979	50
nds	1.2	60.3329990469845	-0.980	51
jv	2.0	157.3173380396753	-0.987	52
