l_code	y	y_est	y_deviation_perc	ranking
en	9327.000	7008.5711710712485	0.33079907050075424	1
ja	1444.000	1037.1321745400294	0.3923008421182358	2
es	1357.000	1972.3869437088501	-0.3120011241565434	3
ru	1275.000	913.1997957929652	0.39618953691603737	4
de	1225.000	958.5489457631166	0.2779733423260481	5
fr	895.000	887.9570675305281	0.007931613731121938	6
it	631.000	479.33329126452185	0.31641179842812195	7
zh	541.000	3965.109169127139	-0.8635598726480731	8
pl	394.000	173.50605470878781	1.270814126119626	9
pt	380.000	726.4046166113853	-0.47687557139619086	10
nl	197.000	212.09426761548684	-0.07116773020406082	11
ar	167.000	1189.844759284221	-0.8596455556937842	12
tr	167.000	314.2402505560183	-0.4685594868750602	13
id	140.000	332.89637236014846	-0.5794487064925444	14
sv	128.000	57.46937317104556	1.2272732924898064	15
ko	103.000	394.4987866670601	-0.7389092096576522	16
fa	85.600	205.2490410804415	-0.5829456763870993	17
cs	84.700	26.379571454251973	2.210817891673812	18
uk	83.300	21.9694479309166	2.791629187130174	19
fi	77.700	10.091927798215387	6.699222740549147	20
hu	65.700	25.81697099527237	1.5448376578348813	21
th	64.600	145.41625564342075	-0.5557580566617845	22
he	59.800	20.4683416893485	1.9215849973385613	23
vi	56.100	71.03143202665187	-0.2102087991278201	24
ro	46.100	45.45074746521901	0.014284749338343212	25
da	40.000	12.87094863731263	2.1077740364871613	26
ca	32.700	20.615232394468315	0.586205742156678	27
el	31.900	35.03829814791128	-0.0895676535048367	28
bg	31.000	-10.529192457195997	-3.9441954001717936	29
hr	26.100	-11.954261940045395	-3.1833217417269415	30
sr	21.300	5.43398968481587	2.919771886854759	31
sk	19.100	-10.370479528302205	-2.841766327957541	32
lt	16.500	-26.311397777283645	-1.6271046540235705	33
ms	14.300	132.63430393075964	-0.8921847548017052	34
sl	13.400	-28.49893018919545	-1.4701930883384606	35
hi	13.300	637.1262482229619	-0.9791250163729786	36
kk	13.200	23.253054686849282	-0.43233264713967956	37
et	12.400	-36.12565705043823	-1.3432463521061295	38
sh	11.800	53.44334548840418	-0.7792054391026046	39
az	9.100	71.95348403346092	-0.8735294041388159	40
