tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
aa-DJ	aa	DJ	Afar		0.4200			DJ	DJI
aa-ER	aa	ER	Afar		0.0360			ER	ERI
aa-ET	aa	ET	Afar		0.0140			ET	ETH
ab-GE	ab	GE	Abkhazian	official_regional	0.0220			GE	GEO
ab-TR	ab	TR	Abkhazian		0.0000	R1079		TR	TUR
abr-GH	abr	GH	Abron		0.0500			GH	GHA
ace-ID	ace	ID	Achinese		0.0140			ID	IDN
ach-UG	ach	UG	Acoli		0.0370	R1283		UG	UGA
ada-GH	ada	GH	Adangme		0.0300			GH	GHA
ady-RU	ady	RU	Adyghe	official_regional	0.0009			RU	RUS
ady-TR	ady	TR	Adyghe		0.0039			TR	TUR
aeb-TN	aeb	TN	Tunisian Arabic		0.9000			TN	TUN
af-BW	af	BW	Afrikaans		0.0028			BW	BWA
af-NA	af	NA	Afrikaans		0.7500	R1256		NA	NAM
af-ZA	af	ZA	Afrikaans	official_regional	0.1300		99	ZA	ZAF
agq-CM	agq	CM	Aghem		0.0014		20	CM	CMR
ak-GH	ak	GH	Akan	official_regional	0.3900			GH	GHA
aln-XK	aln	XK	Gheg Albanian		0.7400	R1305		XK	XKK
alt-RU	alt	RU	Southern Altai		0.0001			RU	RUS
am-ET	am	ET	Amharic	official	0.3300			ET	ETH
am-IL	am	IL	Amharic		0.0059			IL	ISR
amo-NG	amo	NG	Amo		0.0001			NG	NGA
aoz-ID	aoz	ID	Uab Meto		0.0027			ID	IDN
ar-AE	ar	AE	Arabic	official	0.7800			AE	ARE
ar-BH	ar	BH	Arabic	official	0.8700	R1007		BH	BHR
ar-CM	ar	CM	Arabic		0.0039			CM	CMR
ar-CY	ar	CY	Arabic		0.0011			CY	CYP
ar-DJ	ar	DJ	Arabic	official	0.0730			DJ	DJI
ar-DZ	ar	DZ	Arabic	official	0.7400			DZ	DZA
ar-EG	ar	EG	Arabic	official	0.9400			EG	EGY
