l_code	pgviews	timeperiod
ALL	7252359.0	Wednesday September 30, 2015
simple	18226.0	Wednesday September 30, 2015
zh	440350.0	Wednesday September 30, 2015
hi	9133.0	Wednesday September 30, 2015
ar	96095.0	Wednesday September 30, 2015
es	999074.0	Wednesday September 30, 2015
ms	17989.0	Wednesday September 30, 2015
pt	277471.0	Wednesday September 30, 2015
ru	943521.0	Wednesday September 30, 2015
id	70376.0	Wednesday September 30, 2015
bn	5157.0	Wednesday September 30, 2015
fr	705712.0	Wednesday September 30, 2015
de	941830.0	Wednesday September 30, 2015
ja	860694.0	Wednesday September 30, 2015
fa	68979.0	Wednesday September 30, 2015
pa	1316.0	Wednesday September 30, 2015
tl	9511.0	Wednesday September 30, 2015
mr	7425.0	Wednesday September 30, 2015
te	2909.0	Wednesday September 30, 2015
vi	51591.0	Wednesday September 30, 2015
jv	3199.0	Wednesday September 30, 2015
ko	67744.0	Wednesday September 30, 2015
wuu	850.0	Wednesday September 30, 2015
arz	2576.0	Wednesday September 30, 2015
th	35141.0	Wednesday September 30, 2015
zh-yue	4251.0	Wednesday September 30, 2015
it	393752.0	Wednesday September 30, 2015
tr	129709.0	Wednesday September 30, 2015
ta	6366.0	Wednesday September 30, 2015
pnb	1227.0	Wednesday September 30, 2015
ur	3162.0	Wednesday September 30, 2015
my	17293.0	Wednesday September 30, 2015
sw	1978.0	Wednesday September 30, 2015
zh-min-nan	1413.0	Wednesday September 30, 2015
kn	1411.0	Wednesday September 30, 2015
gu	739.0	Wednesday September 30, 2015
uk	64136.0	Wednesday September 30, 2015
pl	316319.0	Wednesday September 30, 2015
sd	183.0	Wednesday September 30, 2015
ha	156.0	Wednesday September 30, 2015
ml	3579.0	Wednesday September 30, 2015
gan	471.0	Wednesday September 30, 2015
hak	426.0	Wednesday September 30, 2015
or	712.0	Wednesday September 30, 2015
ne	1008.0	Wednesday September 30, 2015
ro	37190.0	Wednesday September 30, 2015
su	1614.0	Wednesday September 30, 2015
az	8692.0	Wednesday September 30, 2015
nl	164149.0	Wednesday September 30, 2015
zu	277.0	Wednesday September 30, 2015
ps	756.0	Wednesday September 30, 2015
ku	1196.0	Wednesday September 30, 2015
om	166.0	Wednesday September 30, 2015
ln	338.0	Wednesday September 30, 2015
am	737.0	Wednesday September 30, 2015
yo	1330.0	Wednesday September 30, 2015
uz	3275.0	Wednesday September 30, 2015
sh	13847.0	Wednesday September 30, 2015
ig	269.0	Wednesday September 30, 2015
mg	997.0	Wednesday September 30, 2015
ceb	2475.0	Wednesday September 30, 2015
si	1219.0	Wednesday September 30, 2015
km	516.0	Wednesday September 30, 2015
el	27933.0	Wednesday September 30, 2015
hu	58206.0	Wednesday September 30, 2015
tw	118.0	Wednesday September 30, 2015
so	581.0	Wednesday September 30, 2015
map-bms	643.0	Wednesday September 30, 2015
af	5198.0	Wednesday September 30, 2015
as	819.0	Wednesday September 30, 2015
