serial	c_code	l_name	officialStatus	populationPercent	references	type	writingPercent	geo
0	AC	English		99	R1020	en		AC
1	AD	Catalan	official	51		ca		AD
2	AD	Spanish		43		es		AD
3	AD	French		6.8		fr		AD
4	AE	Arabic	official	78		ar		AE
5	AE	Malayalam		7		ml		AE
6	AE	Pashto		2.9		ps		AE
7	AE	Baluchi		2.3		bal		AE
8	AE	Persian		1.9		fa		AE
9	AF	Persian	official	50		fa		AF
10	AF	Pashto	official	43	R1055	ps		AF
11	AF	Hazaragi		5.9		haz		AF
12	AF	Uzbek (Arabic)	official_regional	4.7		uz_Arab		AF
13	AF	Turkmen (Latin)	official_regional	1.7		tk_Latn		AF
14	AF	Parsi-Dari		1.2		prd		AF
15	AF	Baluchi	official_regional	0.67		bal		AF
16	AF	Uyghur (Arabic)		0.0094	R1165	ug_Arab		AF
17	AF	Kazakh (Arabic)		0.0063	R1119	kk_Arab		AF
18	AG	English	official	86		en		AG
19	AG	Portuguese		1.8		pt		AG
20	AI	English	official	95		en		AI
21	AL	Albanian	official	100		sq		AL
22	AL	Greek		1.9		el		AL
23	AL	Macedonian		0.47		mk		AL
24	AM	Armenian	official	98		hy		AM
25	AM	Kurdish (Latin)		3.3		ku_Latn		AM
26	AM	Azerbaijani (Latin)		0	R1290	az_Latn		AM
27	AO	Portuguese	official	67		pt		AO
28	AO	Umbundu		29		umb		AO
29	AO	Kimbundu		25	R1034	kmb	10	AO
30	AO	Lingala		0.67	R1010	ln		AO
31	AQ	Unknown Language		100	R1060	und		AQ
32	AR	Spanish	official	100		es		AR
33	AR	English		7		en		AR
34	AR	Welsh		0.066		cy		AR
35	AR	Guarani		0.047		gn		AR
36	AS	Samoan	official	99		sm		AS
37	AS	English	de_facto_official	97		en		AS
38	AT	German	official	97		de		AT
39	AT	Bavarian		95		bar		AT
40	AT	English		73		en		AT
41	AT	Croatian	official_regional	1.2		hr		AT
42	AT	Slovenian	official_regional	0.37		sl		AT
43	AT	Hungarian	official_regional	0.27		hu		AT
44	AU	English	de_facto_official	96	R1001	en		AU
45	AU	Chinese (Traditional)		2.1		zh_Hant		AU
46	AU	Italian		1.9		it		AU
47	AU	Warlpiri		0.011		wbp		AU
48	AW	Dutch	official	97	R1000	nl		AW
49	AW	Papiamento	official	61		pap		AW
50	AW	English		2.7		en		AW
51	AX	Swedish	official	99		sv		AX
52	AZ	Azerbaijani (Latin)	official	89	R1120	az_Latn		AZ
53	AZ	Azerbaijani (Cyrillic)	official	9.9	R1121	az_Cyrl		AZ
54	AZ	Talysh (Latin)		9.8		tly_Latn		AZ
55	AZ	Kurdish (Latin)		0.24		ku_Latn		AZ
56	AZ	Muslim Tat (Latin)		0.22		ttt_Latn		AZ
57	AZ	Tsakhur (Latin)		0.16		tkr_Latn		AZ
58	BA	Bosnian (Cyrillic)	official	99	R1083	bs_Cyrl	5	BA
59	BA	Bosnian (Latin)	official	99		bs_Latn		BA
60	BA	English		45		en		BA
61	BA	Croatian	official	12		hr		BA
62	BA	Serbian (Cyrillic)	official	10		sr_Cyrl		BA
63	BA	Serbian (Latin)	official	10	R1003	sr_Latn	5	BA
64	BB	English	official	100		en		BB
65	BD	Bengali	official	98		bn		BD
66	BD	English		18		en		BD
67	BD	Rangpuri		6.5	R1087	rkt	20	BD
68	BD	Sylheti		5		syl	35	BD
69	BD	Chakma		0.22		ccp		BD
70	BD	Burmese		0.21		my		BD
71	BD	Garo		0.073		grt		BD
72	BD	Manipuri		0.011		mni		BD
73	BE	English		59	R1052	en		BE
74	BE	Dutch	official	55	R1004	nl		BE
75	BE	French	official	38		fr		BE
76	BE	West Flemish		10		vls		BE
77	BE	Walloon		5.8	R1005	wa	5	BE
78	BE	German	official	1.4		de		BE
79	BF	Mossi		40	R1105	mos		BF
80	BF	Dyula		32	R1091	dyu		BF
81	BF	French	official	22		fr		BF
82	BG	Bulgarian	official	100		bg		BG
83	BG	English		25		en		BG
84	BG	Turkish		11		tr		BG
85	BH	Arabic	official	87	R1007	ar		BH
86	BH	Malayalam		3.3	R1109	ml		BH
87	BI	Rundi	official	63		rn		BI
88	BI	French	official	59		fr		BI
89	BI	Swahili		0.061		sw		BI
90	BJ	French	official	35		fr		BJ
91	BJ	Fon		25		fon		BJ
92	BJ	Yoruba		6.7		yo		BJ
93	BL	French	official	94		fr		BL
94	BM	English	official	92		en		BM
95	BN	Malay (Latin)	official	93		ms_Latn		BN
96	BN	Chinese (Traditional)		11		zh_Hant		BN
97	BN	Malay (Arabic)	official	5	R1219	ms_Arab		BN
98	BN	English		1.9		en		BN
99	BO	Spanish	official	61	R1191	es		BO
100	BO	Quechua	official	32	R1008	qu		BO
101	BO	Aymara	official	20		ay		BO
102	BO	Guarani		0.45		gn		BO
103	BO	Araona		0.001		aro		BO
104	BQ	Papiamento		81		pap		BQ
105	BQ	Dutch	official	8		nl		BQ
106	BR	Portuguese	official	91		pt		BR
107	BR	English		8		en		BR
108	BR	German		0.84		de		BR
109	BR	Italian		0.28		it		BR
110	BR	Japanese		0.21		ja		BR
111	BR	Korean		0.021		ko		BR
112	BR	Kaingang		0.01		kgp		BR
113	BR	Guajajára		0.0084		gub		BR
114	BR	Nheengatu		0.0052		yrl		BR
115	BR	Xavánte		0.0049		xav		BR
116	BS	English	official	100		en		BS
117	BT	Dzongkha	official	47		dz		BT
118	BT	Nepali		17		ne		BT
119	BT	Tshangla		15		tsj		BT
120	BT	English		11		en		BT
121	BT	Lepcha		3.9		lep		BT
122	BV	Unknown Language		100		und		BV
123	BW	English	official	81	R1009	en		BW
124	BW	Tswana	official	62		tn		BW
125	BW	Afrikaans		0.28		af		BW
126	BY	Belarusian	official	100		be		BY
127	BY	Russian	official	12		ru		BY
128	BZ	English	official	100		en		BZ
129	BZ	Spanish		28		es		BZ
130	CA	English	official	86	R1194	en		CA
131	CA	French	official	22		fr		CA
132	CA	Italian		2	R1207	it		CA
133	CA	German		1.9		de		CA
134	CA	Plautdietsch		0.24		pdt		CA
135	CA	Cree (Unified Canadian Aboriginal Syllabics)		0.11	R1063	cr_Cans		CA
136	CA	Plains Cree		0.11	R1063	crk		CA
137	CA	Yiddish		0.045	R1021	yi		CA
138	CA	Inuktitut (Unified Canadian Aboriginal Syllabics)	official_regional	0.042	R1207	iu_Cans	30	CA
