c_code	l_name	officialStatus	populationPercent	references	type	writingPercent	geo	ISO	LP_c	IPop_c	PPPGDP_c	LP	IPop	PPPGDP	c
AC	English		0.9900	R1020	en		AC	ASC							en-AC
AD	Catalan	official	0.5100		ca		AD	AND							ca-AD
AD	Spanish		0.4300		es		AD	AND							es-AD
AD	French		0.0680		fr		AD	AND							fr-AD
AE	Arabic	official	0.7800		ar		AE	ARE	9.0310	7.9473	570.5740	7.0442	6.1989	445.0477	ar-AE
AE	Malayalam		0.0700		ml		AE	ARE	9.0310	7.9473	570.5740	0.6322	0.5563	39.9402	ml-AE
AE	Pashto		0.0290		ps		AE	ARE	9.0310	7.9473	570.5740	0.2619	0.2305	16.5466	ps-AE
AE	Baluchi		0.0230		bal		AE	ARE	9.0310	7.9473	570.5740	0.2077	0.1828	13.1232	bal-AE
AE	Persian		0.0190		fa		AE	ARE	9.0310	7.9473	570.5740	0.1716	0.1510	10.8409	fa-AE
AF	Persian	official	0.5000		fa		AF	AFG	30.5520	1.8026	58.7690	15.2760	0.9013	29.3845	fa-AF
AF	Pashto	official	0.4300	R1055	ps		AF	AFG	30.5520	1.8026	58.7690	13.1374	0.7751	25.2707	ps-AF
AF	Hazaragi		0.0590		haz		AF	AFG	30.5520	1.8026	58.7690	1.8026	0.1064	3.4674	haz-AF
AF	Uzbek (Arabic)	official_regional	0.0470		uz_Arab		AF	AFG	30.5520	1.8026	58.7690	1.4359	0.0847	2.7621	uz_Arab-AF
AF	Turkmen (Latin)	official_regional	0.0170		tk_Latn		AF	AFG	30.5520	1.8026	58.7690	0.5194	0.0306	0.9991	tk_Latn-AF
AF	Parsi-Dari		0.0120		prd		AF	AFG	30.5520	1.8026	58.7690	0.3666	0.0216	0.7052	prd-AF
AF	Baluchi	official_regional	0.0067		bal		AF	AFG	30.5520	1.8026	58.7690	0.2047	0.0121	0.3938	bal-AF
AF	Uyghur (Arabic)		0.0001	R1165	ug_Arab		AF	AFG	30.5520	1.8026	58.7690	0.0029	0.0002	0.0055	ug_Arab-AF
AF	Kazakh (Arabic)		0.0001	R1119	kk_Arab		AF	AFG	30.5520	1.8026	58.7690	0.0019	0.0001	0.0037	kk_Arab-AF
AG	English	official	0.8600		en		AG	ATG	0.0870	0.0552	1.9200	0.0748	0.0474	1.6512	en-AG
AG	Portuguese		0.0180		pt		AG	ATG	0.0870	0.0552	1.9200	0.0016	0.0010	0.0346	pt-AG
AI	English	official	0.9500		en		AI	AIA							en-AI
AL	Albanian	official	1.0000		sq		AL	ALB	2.7880	1.6756	29.5370	2.7880	1.6756	29.5370	sq-AL
AL	Greek		0.0190		el		AL	ALB	2.7880	1.6756	29.5370	0.0530	0.0318	0.5612	el-AL
AL	Macedonian		0.0047		mk		AL	ALB	2.7880	1.6756	29.5370	0.0131	0.0079	0.1388	mk-AL
AM	Armenian	official	0.9800		hy		AM	ARM	3.2870	1.5219	23.1240	3.2213	1.4914	22.6615	hy-AM
AM	Kurdish (Latin)		0.0330		ku_Latn		AM	ARM	3.2870	1.5219	23.1240	0.1085	0.0502	0.7631	ku_Latn-AM
AM	Azerbaijani (Latin)		0.0000	R1290	az_Latn		AM	ARM	3.2870	1.5219	23.1240	0.0000	0.0000	0.0000	az_Latn-AM
AO	Portuguese	official	0.6700		pt		AO	AGO	20.8200	3.9766	166.1050	13.9494	2.6643	111.2904	pt-AO
AO	Umbundu		0.2900		umb		AO	AGO	20.8200	3.9766	166.1050	6.0378	1.1532	48.1704	umb-AO
AO	Kimbundu		0.2500	R1034	kmb	10	AO	AGO	20.8200	3.9766	166.1050	5.2050	0.9942	41.5262	kmb-AO
AO	Lingala		0.0067	R1010	ln		AO	AGO	20.8200	3.9766	166.1050	0.1395	0.0266	1.1129	ln-AO
AQ	Unknown Language		1.0000	R1060	und		AQ	ATA							und-AQ
AR	Spanish	official	1.0000		es		AR	ARG	41.4920	24.8537	927.8750	41.4920	24.8537	927.8750	es-AR
AR	English		0.0700		en		AR	ARG	41.4920	24.8537	927.8750	2.9044	1.7398	64.9513	en-AR
AR	Welsh		0.0007		cy		AR	ARG	41.4920	24.8537	927.8750	0.0274	0.0164	0.6124	cy-AR
AR	Guarani		0.0005		gn		AR	ARG	41.4920	24.8537	927.8750	0.0195	0.0117	0.4361	gn-AR
AS	Samoan	official	0.9900		sm		AS	ASM							sm-AS
AS	English	de_facto_official	0.9700		en		AS	ASM							en-AS
AT	German	official	0.9700		de		AT	AUT	8.4840	6.8397	376.7210	8.2295	6.6345	365.4194	de-AT
AT	Bavarian		0.9500		bar		AT	AUT	8.4840	6.8397	376.7210	8.0598	6.4977	357.8850	bar-AT
AT	English		0.7300		en		AT	AUT	8.4840	6.8397	376.7210	6.1933	4.9930	275.0063	en-AT
AT	Croatian	official_regional	0.0120		hr		AT	AUT	8.4840	6.8397	376.7210	0.1018	0.0821	4.5207	hr-AT
AT	Slovenian	official_regional	0.0037		sl		AT	AUT	8.4840	6.8397	376.7210	0.0314	0.0253	1.3939	sl-AT
AT	Hungarian	official_regional	0.0027		hu		AT	AUT	8.4840	6.8397	376.7210	0.0229	0.0185	1.0171	hu-AT
AU	English	de_facto_official	0.9600	R1001	en		AU	AUS	23.3190	19.3548	1052.6000	22.3862	18.5806	1010.4960	en-AU
AU	Chinese (Traditional)		0.0210		zh_Hant		AU	AUS	23.3190	19.3548	1052.6000	0.4897	0.4065	22.1046	zh_Hant-AU
AU	Italian		0.0190		it		AU	AUS	23.3190	19.3548	1052.6000	0.4431	0.3677	19.9994	it-AU
AU	Warlpiri		0.0001		wbp		AU	AUS	23.3190	19.3548	1052.6000	0.0026	0.0021	0.1158	wbp-AU
AW	Dutch	official	0.9700	R1000	nl		AW	ABW							nl-AW
AW	Papiamento	official	0.6100		pap		AW	ABW							pap-AW
AW	English		0.0270		en		AW	ABW							en-AW
AX	Swedish	official	0.9900		sv		AX	ALA							sv-AX
AZ	Azerbaijani (Latin)	official	0.8900	R1120	az_Latn		AZ	AZE	9.3090	5.4644	158.5180	8.2850	4.8633	141.0810	az_Latn-AZ
AZ	Azerbaijani (Cyrillic)	official	0.0990	R1121	az_Cyrl		AZ	AZE	9.3090	5.4644	158.5180	0.9216	0.5410	15.6933	az_Cyrl-AZ
AZ	Talysh (Latin)		0.0980		tly_Latn		AZ	AZE	9.3090	5.4644	158.5180	0.9123	0.5355	15.5348	tly_Latn-AZ
AZ	Kurdish (Latin)		0.0024		ku_Latn		AZ	AZE	9.3090	5.4644	158.5180	0.0223	0.0131	0.3804	ku_Latn-AZ
AZ	Muslim Tat (Latin)		0.0022		ttt_Latn		AZ	AZE	9.3090	5.4644	158.5180	0.0205	0.0120	0.3487	ttt_Latn-AZ
AZ	Tsakhur (Latin)		0.0016		tkr_Latn		AZ	AZE	9.3090	5.4644	158.5180	0.0149	0.0087	0.2536	tkr_Latn-AZ
BA	Bosnian (Cyrillic)	official	0.9900	R1083	bs_Cyrl	5	BA	BIH	3.8780	2.6332	37.0810	3.8392	2.6068	36.7102	bs_Cyrl-BA
BA	Bosnian (Latin)	official	0.9900		bs_Latn		BA	BIH	3.8780	2.6332	37.0810	3.8392	2.6068	36.7102	bs_Latn-BA
BA	English		0.4500		en		BA	BIH	3.8780	2.6332	37.0810	1.7451	1.1849	16.6864	en-BA
BA	Croatian	official	0.1200		hr		BA	BIH	3.8780	2.6332	37.0810	0.4654	0.3160	4.4497	hr-BA
BA	Serbian (Cyrillic)	official	0.1000		sr_Cyrl		BA	BIH	3.8780	2.6332	37.0810	0.3878	0.2633	3.7081	sr_Cyrl-BA
BA	Serbian (Latin)	official	0.1000	R1003	sr_Latn	5	BA	BIH	3.8780	2.6332	37.0810	0.3878	0.2633	3.7081	sr_Latn-BA
BB	English	official	1.0000		en		BB	BRB	0.2790	0.2092	4.4630	0.2790	0.2092	4.4630	en-BB
BD	Bengali	official	0.9800		bn		BD	BGD	156.5950	10.1787	496.0130	153.4631	9.9751	486.0927	bn-BD
BD	English		0.1800		en		BD	BGD	156.5950	10.1787	496.0130	28.1871	1.8322	89.2823	en-BD
BD	Rangpuri		0.0650	R1087	rkt	20	BD	BGD	156.5950	10.1787	496.0130	10.1787	0.6616	32.2408	rkt-BD
BD	Sylheti		0.0500		syl	35	BD	BGD	156.5950	10.1787	496.0130	7.8298	0.5089	24.8007	syl-BD
BD	Chakma		0.0022		ccp		BD	BGD	156.5950	10.1787	496.0130	0.3445	0.0224	1.0912	ccp-BD
BD	Burmese		0.0021		my		BD	BGD	156.5950	10.1787	496.0130	0.3288	0.0214	1.0416	my-BD
BD	Garo		0.0007		grt		BD	BGD	156.5950	10.1787	496.0130	0.1143	0.0074	0.3621	grt-BD
BD	Manipuri		0.0001		mni		BD	BGD	156.5950	10.1787	496.0130	0.0172	0.0011	0.0546	mni-BD
BE	English		0.5900	R1052	en		BE	BEL	11.1620	9.1718	454.9540	6.5856	5.4114	268.4229	en-BE
BE	Dutch	official	0.5500	R1004	nl		BE	BEL	11.1620	9.1718	454.9540	6.1391	5.0445	250.2247	nl-BE
BE	French	official	0.3800		fr		BE	BEL	11.1620	9.1718	454.9540	4.2416	3.4853	172.8825	fr-BE
BE	West Flemish		0.1000		vls		BE	BEL	11.1620	9.1718	454.9540	1.1162	0.9172	45.4954	vls-BE
BE	Walloon		0.0580	R1005	wa	5	BE	BEL	11.1620	9.1718	454.9540	0.6474	0.5320	26.3873	wa-BE
BE	German	official	0.0140		de		BE	BEL	11.1620	9.1718	454.9540	0.1563	0.1284	6.3694	de-BE
BF	Mossi		0.4000	R1105	mos		BF	BFA	16.9370	0.7452	27.7380	6.7748	0.2981	11.0952	mos-BF
BF	Dyula		0.3200	R1091	dyu		BF	BFA	16.9370	0.7452	27.7380	5.4198	0.2385	8.8762	dyu-BF
BF	French	official	0.2200		fr		BF	BFA	16.9370	0.7452	27.7380	3.7261	0.1640	6.1024	fr-BF
BG	Bulgarian	official	1.0000		bg		BG	BGR	7.2380	3.8406	119.5610	7.2380	3.8406	119.5610	bg-BG
BG	English		0.2500		en		BG	BGR	7.2380	3.8406	119.5610	1.8095	0.9601	29.8903	en-BG
BG	Turkish		0.1100		tr		BG	BGR	7.2380	3.8406	119.5610	0.7962	0.4225	13.1517	tr-BG
BH	Arabic	official	0.8700	R1007	ar		BH	BHR	1.1740	1.0566	58.2810	1.0214	0.9192	50.7045	ar-BH
BH	Malayalam		0.0330	R1109	ml		BH	BHR	1.1740	1.0566	58.2810	0.0387	0.0349	1.9233	ml-BH
BI	Rundi	official	0.6300		rn		BI	BDI	8.9850	0.1168	7.8840	5.6605	0.0736	4.9669	rn-BI
BI	French	official	0.5900		fr		BI	BDI	8.9850	0.1168	7.8840	5.3011	0.0689	4.6516	fr-BI
BI	Swahili		0.0006		sw		BI	BDI	8.9850	0.1168	7.8840	0.0055	0.0001	0.0048	sw-BI
BJ	French	official	0.3500		fr		BJ	BEN	10.3210	0.5057	18.5050	3.6123	0.1770	6.4767	fr-BJ
BJ	Fon		0.2500		fon		BJ	BEN	10.3210	0.5057	18.5050	2.5802	0.1264	4.6262	fon-BJ
BJ	Yoruba		0.0670		yo		BJ	BEN	10.3210	0.5057	18.5050	0.6915	0.0339	1.2398	yo-BJ
BL	French	official	0.9400		fr		BL	BLM							fr-BL
BM	English	official	0.9200		en		BM	BMU							en-BM
BN	Malay (Latin)	official	0.9300		ms_Latn		BN	BRN	0.4060	0.2619	29.9870	0.3776	0.2435	27.8879	ms_Latn-BN
BN	Chinese (Traditional)		0.1100		zh_Hant		BN	BRN	0.4060	0.2619	29.9870	0.0447	0.0288	3.2986	zh_Hant-BN
BN	Malay (Arabic)	official	0.0500	R1219	ms_Arab		BN	BRN	0.4060	0.2619	29.9870	0.0203	0.0131	1.4993	ms_Arab-BN
BN	English		0.0190		en		BN	BRN	0.4060	0.2619	29.9870	0.0077	0.0050	0.5698	en-BN
BO	Spanish	official	0.6100	R1191	es		BO	BOL	11.0370	4.3596	65.4240	6.7326	2.6594	39.9086	es-BO
BO	Quechua	official	0.3200	R1008	qu		BO	BOL	11.0370	4.3596	65.4240	3.5318	1.3951	20.9357	qu-BO
BO	Aymara	official	0.2000		ay		BO	BOL	11.0370	4.3596	65.4240	2.2074	0.8719	13.0848	ay-BO
BO	Guarani		0.0045		gn		BO	BOL	11.0370	4.3596	65.4240	0.0497	0.0196	0.2944	gn-BO
BO	Araona		0.0000		aro		BO	BOL	11.0370	4.3596	65.4240	0.0001	0.0000	0.0007	aro-BO
BQ	Papiamento		0.8100		pap		BQ	BES							pap-BQ
BQ	Dutch	official	0.0800		nl		BQ	BES							nl-BQ
BR	Portuguese	official	0.9100		pt		BR	BRA	201.0320	103.7325	3012.8800	182.9391	94.3966	2741.7208	pt-BR
BR	English		0.0800		en		BR	BRA	201.0320	103.7325	3012.8800	16.0826	8.2986	241.0304	en-BR
BR	German		0.0084		de		BR	BRA	201.0320	103.7325	3012.8800	1.6887	0.8714	25.3082	de-BR
BR	Italian		0.0028		it		BR	BRA	201.0320	103.7325	3012.8800	0.5629	0.2905	8.4361	it-BR
BR	Japanese		0.0021		ja		BR	BRA	201.0320	103.7325	3012.8800	0.4222	0.2178	6.3270	ja-BR
BR	Korean		0.0002		ko		BR	BRA	201.0320	103.7325	3012.8800	0.0422	0.0218	0.6327	ko-BR
BR	Kaingang		0.0001		kgp		BR	BRA	201.0320	103.7325	3012.8800	0.0201	0.0104	0.3013	kgp-BR
BR	Guajajára		0.0001		gub		BR	BRA	201.0320	103.7325	3012.8800	0.0169	0.0087	0.2531	gub-BR
BR	Nheengatu		0.0001		yrl		BR	BRA	201.0320	103.7325	3012.8800	0.0105	0.0054	0.1567	yrl-BR
BR	Xavánte		0.0000		xav		BR	BRA	201.0320	103.7325	3012.8800	0.0099	0.0051	0.1476	xav-BR
BS	English	official	1.0000		en		BS	BHS	0.3560	0.2563	8.7800	0.3560	0.2563	8.7800	en-BS
BT	Dzongkha	official	0.4700		dz		BT	BTN	0.7540	0.2254	5.4260	0.3544	0.1060	2.5502	dz-BT
BT	Nepali		0.1700		ne		BT	BTN	0.7540	0.2254	5.4260	0.1282	0.0383	0.9224	ne-BT
BT	Tshangla		0.1500		tsj		BT	BTN	0.7540	0.2254	5.4260	0.1131	0.0338	0.8139	tsj-BT
BT	English		0.1100		en		BT	BTN	0.7540	0.2254	5.4260	0.0829	0.0248	0.5969	en-BT
BT	Lepcha		0.0390		lep		BT	BTN	0.7540	0.2254	5.4260	0.0294	0.0088	0.2116	lep-BT
BV	Unknown Language		1.0000		und		BV	BVT							und-BV
BW	English	official	0.8100	R1009	en		BW	BWA	2.0790	0.3119	31.6890	1.6840	0.2526	25.6681	en-BW
BW	Tswana	official	0.6200		tn		BW	BWA	2.0790	0.3119	31.6890	1.2890	0.1933	19.6472	tn-BW
BW	Afrikaans		0.0028		af		BW	BWA	2.0790	0.3119	31.6890	0.0058	0.0009	0.0887	af-BW
BY	Belarusian	official	1.0000		be		BY	BLR	9.4640	5.1266	166.7860	9.4640	5.1266	166.7860	be-BY
BY	Russian	official	0.1200		ru		BY	BLR	9.4640	5.1266	166.7860	1.1357	0.6152	20.0143	ru-BY
BZ	English	official	1.0000		en		BZ	BLZ	0.3500	0.1109	2.8030	0.3500	0.1109	2.8030	en-BZ
BZ	Spanish		0.2800		es		BZ	BLZ	0.3500	0.1109	2.8030	0.0980	0.0311	0.7848	es-BZ
CA	English	official	0.8600	R1194	en		CA	CAN	35.1050	30.1201	1518.4100	30.1903	25.9033	1305.8326	en-CA
CA	French	official	0.2200		fr		CA	CAN	35.1050	30.1201	1518.4100	7.7231	6.6264	334.0502	fr-CA
CA	Italian		0.0200	R1207	it		CA	CAN	35.1050	30.1201	1518.4100	0.7021	0.6024	30.3682	it-CA
CA	German		0.0190		de		CA	CAN	35.1050	30.1201	1518.4100	0.6670	0.5723	28.8498	de-CA
CA	Plautdietsch		0.0024		pdt		CA	CAN	35.1050	30.1201	1518.4100	0.0843	0.0723	3.6442	pdt-CA
CA	Cree (Unified Canadian Aboriginal Syllabics)		0.0011	R1063	cr_Cans		CA	CAN	35.1050	30.1201	1518.4100	0.0386	0.0331	1.6703	cr_Cans-CA
CA	Plains Cree		0.0011	R1063	crk		CA	CAN	35.1050	30.1201	1518.4100	0.0386	0.0331	1.6703	crk-CA
CA	Yiddish		0.0004	R1021	yi		CA	CAN	35.1050	30.1201	1518.4100	0.0158	0.0136	0.6833	yi-CA
CA	Inuktitut (Unified Canadian Aboriginal Syllabics)	official_regional	0.0004	R1207	iu_Cans	30	CA	CAN	35.1050	30.1201	1518.4100	0.0147	0.0127	0.6377	iu_Cans-CA
CA	Inuktitut (Latin)	official_regional	0.0004	R1207	iu_Latn	30	CA	CAN	35.1050	30.1201	1518.4100	0.0147	0.0127	0.6377	iu_Latn-CA
CA	Montagnais		0.0003	R1063	moe		CA	CAN	35.1050	30.1201	1518.4100	0.0116	0.0099	0.5011	moe-CA
CA	Southern East Cree		0.0002	R1063	crj		CA	CAN	35.1050	30.1201	1518.4100	0.0074	0.0063	0.3189	crj-CA
CA	Atikamekw		0.0002	R1063	atj		CA	CAN	35.1050	30.1201	1518.4100	0.0056	0.0048	0.2429	atj-CA
CA	Northern East Cree		0.0001	R1063	crl		CA	CAN	35.1050	30.1201	1518.4100	0.0053	0.0045	0.2278	crl-CA
CA	Swampy Cree		0.0001	R1063	csw		CA	CAN	35.1050	30.1201	1518.4100	0.0049	0.0042	0.2126	csw-CA
CA	Moose Cree		0.0001	R1063	crm		CA	CAN	35.1050	30.1201	1518.4100	0.0046	0.0039	0.1974	crm-CA
CA	Inuinnaqtun	official_regional	0.0001	R1207	ikt	30	CA	CAN	35.1050	30.1201	1518.4100	0.0039	0.0033	0.1670	ikt-CA
