type,Language Name,Internet Population,Economy PPPGDP,Population
en,English,719.34,34772.16,1472.52
zh_Hans,Chinese (Simplified),564.22,14881.13,1229.24
es,Spanish,221.50,8493.68,431.72
ar,Arabic,110.37,5068.82,275.60
ru,Russian,107.92,4125.90,185.82
pt,Portuguese,104.61,3162.03,217.71
ja,Japanese,104.56,4440.50,121.40
fr,French,92.41,4459.03,214.52
de,German,78.10,4117.17,94.63
hi,Hindi,77.65,2794.70,511.34
ko,Korean,44.90,1796.43,53.91
it,Italian,41.49,2368.19,66.86
wuu,Wu Chinese,37.39,968.95,81.65
tr,Turkish,35.64,1466.21,75.00
vi,Vietnamese,34.77,465.55,78.22
zh_Hant,Chinese (Traditional),30.23,1606.32,42.35
ur,Urdu,28.32,1133.28,235.69
nl,Dutch,27.19,1357.87,30.79
arz,Egyptian Arabic,26.55,582.27,53.57
bn,Bengali,25.57,1050.55,254.63
